category,product,type,value
coercion,EFS,pipe,efsrpc
coercion,Print Spooler,pipe,spoolss
coercion,WebClient,pipe,DAV RPC SERVICE
epp,Acronis Active Protection,service,AcronisActiveProtectionService
epp,Bitdefender,pipe,\bdConnector\ServiceControl\EPSecurityService.exe
epp,Bitdefender,pipe,etw_sensor_pipe_ppl
epp,Bitdefender,pipe,local\msgbus\antitracker.low\*
epp,Bitdefender,pipe,local\msgbus\aspam.actions.low\*
epp,Bitdefender,pipe,local\msgbus\bdagent*
epp,Bitdefender,pipe,local\msgbus\bdauxsrv
epp,Bitdefender,pipe,local\msgbus\bd.process.broker.pipe
epp,Bitdefender,process,bdagent.exe
epp,Bitdefender,process,bdntwrk.exe
epp,Bitdefender,process,bdservicehost.exe
epp,Bitdefender,process,EPConsole.exe
epp,Bitdefender,process,EPProtectedService.exe
epp,Bitdefender,process,updatesrv.exe
epp,Bitdefender,service,BDAuxSrv
epp,Bitdefender,service,bdredline
epp,Bitdefender,service,bdredline_agent
epp,Bitdefender,service,EPIntegrationService
epp,Bitdefender,service,EPProtectedService
epp,Bitdefender,service,EPRedline
epp,Bitdefender,service,EPSecurityService
epp,Bitdefender,service,EPUpdateService
epp,Bitdefender,service,UPDATESRV
epp,Bitdefender,service,VSSERV
epp,Carbon Black App Control,service,Parity
epp,Carbon Black,service,CbDefense
epp,Carbon Black,service,CbDefenseWSC
epp,CrowdStrike,driver,CSAgent.sys
epp,CrowdStrike,driver,CSBoot.sys
epp,CrowdStrike,driver,CSDeviceControl.sys
epp,CrowdStrike,driver,CSFirmwareAnalysis.sys
epp,CrowdStrike,pipe,CrowdStrike\{*}
epp,CrowdStrike,process,CSFalconContainer.exe
epp,CrowdStrike,process,CSFalconService.exe
epp,CrowdStrike,service,CSFalconService
epp,Cybereason,pipe,CybereasonAPConsoleMinionHostIpc_*
epp,Cybereason,pipe,CybereasonAPServerProxyIpc_*
epp,Cybereason,process,minionhost.exe
epp,Cybereason,service,CybereasonActiveProbe
epp,Cybereason,service,CybereasonAntiMalware
epp,Cybereason,service,CybereasonBlocki
epp,Cybereason,service,CybereasonCRS
epp,Cybereason,service,CybereasonNnx
epp,Cybereason,service,CybereasonTI
epp,Cybereason,service,CybereasonWsclf
epp,ESET,pipe,nod_scriptmon_pipe
epp,ESET,service,ekm
epp,ESET,service,epfw
epp,ESET,service,epfwlwf
epp,ESET,service,epfwwfp
epp,ESET,service,EraAgentSvc
epp,G DATA,pipe,exploitProtectionIPC
epp,G DATA,process,AVKWCtlx64.exe
epp,G DATA,service,AVKProxy
epp,G DATA,service,AVKWCtl
epp,G DATA,service,GDScan
epp,Kaspersky,pipe,Exploit_Blocker
epp,Kaspersky,process,kavfswh.exe
epp,Kaspersky,service,KAVFS
epp,Kaspersky,service,KAVFSGT
